ID,IC,FII,body_part,dry_weight
48,0,35,drytotal,12.940000000000001
49,0,27,drythor,5.78
49,0,27,dryrest,7.84
49,0,27,drytotal,13.620000000000001
50,0.25,35,drythor,5.4
50,0.25,35,dryrest,8.97
50,0.25,35,drytotal,14.370000000000001
51,0.25,41,drythor,4.92
51,0.25,41,dryrest,5.98
51,0.25,41,drytotal,10.9
52,0.25,57,drythor,6.09
52,0.25,57,dryrest,9.58
52,0.25,57,drytotal,15.67
53,0.25,67,drythor,5.6
53,0.25,67,dryrest,7.68
53,0.25,67,drytotal,13.28
55,0.25,35,drythor,4.74
55,0.25,35,dryrest,6.71
55,0.25,35,drytotal,11.45
56,0.25,55,drythor,5.56
56,0.25,55,dryrest,5.27
56,0.25,55,drytotal,10.829999999999998
57,0.25,37,drythor,5.47
57,0.25,37,dryrest,8.02
57,0.25,37,drytotal,13.489999999999998
58,0.25,37,drythor,5.26
58,0.25,37,dryrest,7.17
58,0.25,37,drytotal,12.43
59,0,69,drythor,5.09
59,0,69,dryrest,6.2
59,0,69,drytotal,11.29
60,0.375,66,drythor,5.35
60,0.375,66,dryrest,7.81
60,0.375,66,drytotal,13.16
61,0.375,52,drythor,6.52
61,0.375,52,dryrest,8.47
61,0.375,52,drytotal,14.99
62,0.375,68,drythor,3.64
62,0.375,68,dryrest,3.35
62,0.375,68,drytotal,6.99
63,0.375,52,drythor,3.95
63,0.375,52,dryrest,5.97
63,0.375,52,drytotal,9.92
65,0.375,41,drythor,5.79
65,0.375,41,dryrest,9.49
65,0.375,41,drytotal,15.280000000000001
66,0.375,57,drythor,5.24
66,0.375,57,dryrest,7.79
66,0.375,57,drytotal,13.030000000000001
67,0.25,62,drythor,5.04
67,0.25,62,dryrest,6.72
67,0.25,62,drytotal,11.76
68,0.25,54,drythor,4.94
68,0.25,54,dryrest,6.22
68,0.25,54,drytotal,11.16
69,0.25,83,drythor,4.44
69,0.25,83,dryrest,4.71
69,0.25,83,drytotal,9.15
70,0.25,29,drythor,5.03
70,0.25,29,dryrest,8.51
70,0.25,29,drytotal,13.54
